Course,Course_Long,College,Latest_Faculty,Average_Student_Count,Last_Offered,Community_Partners,Roles,Student_Hours
EDUC 1111,EDUC 1111 Education in the Community,CPS,Polly Attwood,20,Spring 2017,"826 Boston, Balfour Academy, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Catholic Charities, Labour_ Center, Catholic Charities, Teen Center at St. Peter's, Ellis Memorial, Jumpstart at Northeastern, MathPOWER, Northeastern University Service-Learning Program, Peace through Play, The Greater Boston Chinese Bible Church, Timothy Smith Network, United South End Settlements","Activity Assistant, Activity Assistant (Art Centre/Integrated Art Program), Activity Assistant (Early Childhood Ed.), Activity Assistant (Field Trip Program), Activity Assistant (Spanish, Art Center), Corps Member, Service-Learning Teaching Assistant, Service-Learning Team Manager, Tutor, Tutor (After School Program), Tutor (After-School Program), Tutor (Ed in the community), Tutor (Education Room)",35
EDUC 4570,"EDUC 4570 Inclusion, Equity, & Diversity",CPS,Polly Attwood,15,Fall 2011,null,null,null
EECE 2750,EECE 2750 Enabling Engineering,COE,Waleed Meleis,14,Spring 2016,"Enabling Engineering, Northeastern University Service-Learning Program, South Shore Education Collaborative, William Carter School","Consultant (Independent Research), Service-Learning Teaching Assistant, Volunteer",2
ENGL 1107,ENGL 1107 Gender & Society,CSSH,Amy Lantinga,17,Spring 2017,null,null,null
ENGL 3301,ENGL 3301 Advanced Writing in the Disciplines  ,CSSH,Tanya Zhelezcheva,3,Spring 2010,null,null,null
ENGL 3304,ENGL 3304 Advanced Writing in the Disciplines (Business),CSSH,Tanya Zhelezcheva,18,Spring 2011,null,null,null
ENGL 3306,ENGL 3306 Advanced Writing in the Health Professions  ,CSSH,Kim Freeman,9,Fall 2012,null,null,null
ENGL 3382,ENGL 3382 Publication Arts,CSSH,Sebastian Stockman,19,Spring 2017,null,null,null
ENGL 4694,ENGL 4694 Topics in Experiential Education: Writing Boston,CSSH,Chris Galligher ,12,Spring 2012,null,null,null
ENGL Serv,ENGL Service-Learning Internship for Graduate Students,CSSH,Elizabeth Dillon,3,Spring 2013,null,null,null
ENGW 1111,ENGW 1111 First-Year Writing,CSSH,Neal Lerner,16,Spring 2017,"826 Boston, BalletRox Inc, Behind the Smile at Northeastern, Bird Street Community Center, Boston Scholar Athletes, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Castle Square Tenants Organization, Catholic Charities, Labour_ Center, Divest NU, Edward M. Kennedy Academy For Health Careers, Enabling Engineering, Feminist Student Organization at Northeastern, Friends of the Homeless of the South Shore, Global Medical Brigades, GlobeMed, Haitian Multi Service Center, HOME Inc., Hurley K-8 School, Husky Environmental Action Team(HEAT), Hyde Square Task Force, Jumpstart at Northeastern, Let's Get Ready, Little Brothers - Friends of the Elderly, MathPOWER, Northeastern University Service-Learning Program, NU Students Against Institutional Discrimination, Peace through Play, Progressive Student Alliance, Slow Food NU, Tutors For All, Wang YMCA of Chinatown, X-Cel Education","Activity Assistant, Activity Assistant (Field Trip Program), Activity Assistant (MVP), Advocate, Classroom Assistant, Conversation Partner, Corps Member, Divest Advocate, Member, Mentor, Service-Learning Teaching Assistant, Service-Learning Team Manager, Tutor, Tutor (After School Program), Tutor (Afterschool Program), Tutor (Burke Writer's Room), Tutor (O'Bryant Writer's Room), Tutor/Friend, UPASS Advocate, Volunteer",18
ENGW 3302,ENGW 3302 Advanced Writing in the Technical Professions,CSSH,Thomas Akbari,17,Spring 2015,"Citizen Schools, Ethos, FIRST Robotics, Freedom House, HandsOn Tech Boston, HOME Inc., Imagine Tolerance, MathPOWER, Northeastern University Service-Learning Program","Activity Assistant (College Writing), Consultant, Consultant (Social Media), Service-Learning Teaching Assistant, Tutor, Writing Consultant, Writing Consultant (AWD)",19
ENGW 3307,ENGW 3307 Advanced Writing in the Sciences,CSSH,Cecelia Musselman,18,Spring 2015,"Northeastern University Service-Learning Program, Wikipedia","Service-Learning Teaching Assistant, Writing Consultant (AWD)",29
ENGW 3308,ENGW 3308 Advanced Writing in the Disciplines of the Social Sciences,CSSH,Victoria Papa,16,Fall 2013,"Northeastern University Service-Learning Program, Our Marathon: The Boston Bombing Digital Archive","Archivist, Service-Learning Teaching Assistant",35
ENGW 3315,ENGW 3315 Interdisciplinary Advanced Writing in the Disciplines,CSSH,Rachel Lewis,10,Spring 2015,"826 Boston, Action Boston Community Development (ABCD), BalletRox Inc, Boston Scholar Athletes, Ethos, Healthy Kids, Healthy Futures, Northeastern University Service-Learning Program, X-Cel Education","Activity Leader (Madison Site), Consultant (Social Media), Health Educator, Service-Learning Teaching Assistant, Service-Learning Team Manager, Tutor, Tutor (After School Program)",23
FSEM 1000,FSEM 1000 Connections & Decisions,NU Explore,Sara Leavitt,15,Spring 2017,"826 Boston, Action Boston Community Development (ABCD), BalletRox Inc, Bird Street Community Center, BNY Mellon Youth Leaders Program, Boston Cares, Boston Debate League, Boston Scholar Athletes, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Catholic Charities, Labour_ Center, CharlesNewtown Housing Cooperative, Community Servings, Daily Table, Edward M. Kennedy Academy For Health Careers, English for New Bostonians, Ethos, Friends of the Children-Boston, Generation Citizen, Haitian Multi Service Center, Healthy Kids, Healthy Futures, Hernandez School, HOME Inc., Hostelling International-Boston, James P. Timilty Middle School, Jumpstart at Northeastern, Let's Get Ready, Little Brothers - Friends of the Elderly, MathPOWER, New England Association on HIV Over Fifty, Northeastern University Service-Learning Program, Peace through Play, Peer Health Exchange, Roxbury Multi-Service Center, Squashbusters, Strong Women Strong Girls, The DREAM Program, Tutors For All, United South End Settlements, WriteBoston, YMCA International Learning Center, Youth Enrichment Services","Academic Coach, Activity Assistant, Activity Assistant (Afterschool), Activity Assistant (Art Centre/Integrated Art Program), Activity Assistant (athletics), Activity Assistant (FSEM), Activity Assistant (Gym), Activity Assistant (Music Room), Activity Assistant (MVP), Activity Assistant (ServiceWorks Volunteer), Activity Assistant (Student Activity Leader), Activity Assistant (Teen Education Room/MVP), Activity Leader (Madison Site), Administrative Assistant, Classroom Assistant, Community Intern, Conversation Partner, Corps Member, Debate Judge, Democracy Coach, Food Preparation, Health Educator, HR/Recruitment Assistant, Kitchen Assistant, Marketing Consultant, Mentor, Outreach & Development Assistant, Program Assistant, Service-Learning Teaching Assistant, Service-Learning Team Manager, Special Event Coordinator, Strong Woman, Teacher, Tutor, Tutor (After School Program), Tutor (Education Room), Tutor (Workforce Readiness), Volunteer Assistant",26
FSEM 1101,FSEM 1101 Food Justice and Social Change,NU Explore,Becca Berkey,15,Fall 2016,"Mayor's Office of New Urban Mechanics, Northeastern University Service-Learning Program, Sustainable Business Network of MA, The Fresh Truck","Activity Assistant, Consultant, Food Assistant, Service-Learning Teaching Assistant",13
GAME 2755,GAME 2755 Games & Social Justice,CAMD,Gillian Smith,11,Spring 2017,null,null,null
GBST 1012,GBST 1012 Global Experience 1,CPS,Julie Miller,16,Spring 2014,"Boston Scholar Athletes, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Catholic Charities, Teen Center at St. Peter's, CharlesNewtown Housing Cooperative, Community Servings, Freedom House, Generation Citizen, Hyde Park YMCA, Mason Place Housing Development, MathPOWER, Morville House, Northeastern University Service-Learning Program, Peace through Play, Stearns Housing Development, Wang YMCA of Chinatown","Activity Assistant, Activity Assistant (conversation group), Activity Assistant (English Conversation Group), Activity Assistant (Gym), Activity Assistant (Social Recreation Game Room), Conversation Partner, Food Preparation, Researcher, Service-Learning Teaching Assistant, Teacher, Tutor, Tutor (Afterschool Program), Tutor (Ed in the community), Tutor (Human Services & GE)",21
GBST 1013,GBST 1013 Global Experience 2,CPS,Daryl Morazzini,12,Spring 2016,"ABCD North End/West End Neighborhood Service Center, Boston Scholar Athletes, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, HOME Inc., MathPOWER, Morville House, Northeastern University Service-Learning Program, Peace through Play, Wang YMCA of Chinatown","Activity Assistant, Activity Assistant (Gym), Consultant (Social Media), Conversation Partner, Service-Learning Teaching Assistant, Tutor",20
GBST 1020,GBST 1020 Community Learning  1,CPS,Lisa Roe,13,Fall 2016,"Action Boston Community Development (ABCD), Bird Street Community Center, Boston Chinatown Neighborhood Center, Boston Scholar Athletes, Boys & Girls Club of Boston-Hennigan Club, Boys & Girls Club-Orchard Gardens, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, CharlesNewtown Housing Cooperative, Community Servings, Digital Grandparents, Edward M. Kennedy Academy For Health Careers, Fenway High School, Hernandez School, Hostelling International-Boston, Hyde Square Task Force, Literacy Volunteers of Massachusetts, Little Brothers - Friends of the Elderly, MathPOWER, Morville House, Northeastern University Service-Learning Program, Peace through Play, Peterborough Senior Center, Roxbury Multi-Service Center, Roxbury Tenants of Harvard, Tutors For All, United South End Settlements, Wang YMCA of Chinatown, Wediko Children's Services, YMCA International Learning Center, YMCA of Greater Boston","Activity Assistant, Activity Assistant (Afterschool), Activity Assistant (Art Centre/Integrated Art Program), Activity Assistant (Computer Lab), Activity Assistant (Gym), Activity Assistant (Social Recreation Game Room), Computer Tutor, Conversation Partner, Food Preparation, Hostel Engagement Ambassador, Human Resource Assistant, Kitchen Assistant, Math*STARS Tutor Mentor, Oral History Project, Program Assistant, Project Consultant, Service-Learning Teaching Assistant, Service-Learning Team Manager, Special Event Coordinator, Tutor, Tutor (Afterschool Program), Tutor (BTU School), Tutor (Education Room), Tutor (Trotter School), Tutor (Workforce Readiness), Tutor/Mentor",16
GBST 1030,GBST 1030 Community Learning 2,CPS,Terry McCarron,17,Fall 2015,"Bird Street Community Center, Boston Chinatown Neighborhood Center, CharlesNewtown Housing Cooperative, Digital Grandparents, Fenway High School, Little Brothers - Friends of the Elderly, Morville House, Northeastern University Service-Learning Program, Peace through Play, St. Stephen's Youth Programs, Wang YMCA of Chinatown, YMCA of Greater Boston","Activity Assistant, Computer Tutor, Conversation Partner, Program Assistant, Service-Learning Teaching Assistant, Service-Learning Team Manager, Tutor, Tutor (Afterschool Program), Tutor (BTU School), Tutor/Mentor",16
GE 1000,GE 1000 Introduction to the Study of Engineering,COE,Lauren Machunis & Sue Freeman,25,Fall 2012,null,null,null
GE 1110,GE 1110 Engineering Design,COE,Chirag Variawa,15,Summer 2016,"Boston Building Resources, Boys & Girls Club of Boston-Charlestown Club, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Center for STEM Education, Citizen Schools, Edward M. Kennedy Academy For Health Careers, National Center of Afro American Artists, Northeastern University Service-Learning Program, Science Club for Girls","Activity Assistant, Activity Assistant (Robotics), Designer, Engineering Consultant, Engineering Consultant, storage, Engineering consultant, technology, Researcher/Project Assistant, Service-Learning Teaching Assistant, Teacher",1
GE 1501,GE 1501 Cornerstones of Engineering,COE,Susan Freeman,28,Fall 2016,"Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Citizen Schools, Timothy Smith Network","Activity Assistant, Citizen Teacher, Robotics Assistant",11
GE 1502,GE 1502 Cornerstone of Engineering 2,COE,Susan Freeman,29,Spring 2017,null,null,null
HONR 1207,HONR 1207 The Mathematics of Tricks and Puzzles,Honors,Stanley Eigen,8,Fall 2015,"Catholic Charities, El Centro del Cardenal, MathPOWER, Northeastern University Service-Learning Program","Service-Learning Teaching Assistant, Workshop Developer",32
HONR 1208,HONR 1208 Seeing Theatre With an Enlightened Eye,Honors,Nancy Kindelan,15,Fall 2015,"Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Northeastern University Service-Learning Program, Tierney Learning Center","Service-Learning Teaching Assistant, Workshop Developer",9
HONR 3310,HONR 3310 Human Rights in the 21st Century,Honors,Serena Parekh,15,Fall 2016,"Boston Public Health Commission, Community Academy of Science & Health, Community Servings, Corporate Accountability International, Daily Table, Edward M. Kennedy Academy For Health Careers, Franciscan Hospital for Children, Healthy Kids, Healthy Futures, Little Brothers - Friends of the Elderly, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, Oxfam America, Union Capital Boston","Activity Assistant (Student Activity Leader), Advocate, Assistant, Fitness Mentor, Food Server, Kitchen Assistant, Peer Leadership Institute Coach, Project Consultant, Service-Learning Teaching Assistant, Tutor",21
HONR 3341,HONR 3341 Contemporary Issues in Healthcare,Honors,Lorna Hayward,19,Fall 2016,null,null,null
HSCI 1105,HSCI 1105 Introduction to Nutrition,Bouve,Juidith Richman,24,Spring 2012,null,null,null
HSCI 1107,HSCI 1107 Nutrition Service-Learning ,Bouve,Janice Maras,14,Spring 2017,"America SCORES New England, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Citizen Schools, Mission Hill Health Movement, Northeastern University Service-Learning Program, United South End Settlements, YMCA of Greater Boston","Activity Assistant (Biology/Nutrition), Activity Assistant (Early Childhood Ed.), Activity Assistant (Nutrition Workshops), Activity Assistant (Nutrition, Curley School), Activity Assistant (Nutrition, Trotter School), Activity Assistant (Nutrition), Nutrition Activity Assistant, Nutrition Consultant, Nutrition Specialist, Service-Learning Teaching Assistant, Service-Learning Team Manager, Teacher",29
HUSV 1101,HUSV 1101 Human Services Professions,CSSH,Lori Gardinier,21,Spring 2017,"826 Boston, ABCD North End/West End Neighborhood Service Center, Action Boston Community Development (ABCD), Adventure Challenge Program, Aids Action Committee of Massachusetts, Asian Community Development Corporation, Balfour Academy, BalletRox Inc, Beverly School for the Deaf, Big Sister Association of Greater Boston, Bird Street Community Center, Boston Cares, Boston Centers for Youth & Families, Boston Public Schools West Zone Learning Center, Boston Rescue Mission, Boys & Girls Club-Orchard Gardens, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Breakthrough Greater Boston, Catholic Charities, Teen Center at St. Peter's, Citizen Schools, Community Servings, Community Work Services, Deaf Inc, Doc Wayne, Eastern Service Workers Association, Edward M. Kennedy Academy For Health Careers, Ellis Memorial, Ethos, Foster Skills, Gay & Lesbians Advocates & Defenders, Generation Citizen, Girls' LEAP, GRLZradio.org, Harvard-Kent Elementary School, Healthy Kids, Healthy Futures, Hyde Square Task Force, Jewish Vocational Center, John D. O'Bryant School, Jumpstart at Northeastern, Let's Get Ready, LIFT-Boston, Little Brothers - Friends of the Elderly, Madison Park Development Corp, Mass Equality, Massachusetts Public Interest Research Group(MASSPIRG), Mission Hill after School Program, Morville House, Mujeres Unidas Avanzando, National Braille Press Inc, Northeastern University Service-Learning Program, Peace through Play, Renewal House-UU Urban Ministry, Rosie's Place, Samuel Adams Elementary School, Strong Women Strong Girls, The New England Home for the Deaf, The3PointFoundation, United South End Settlements, Wediko Children's Services, X-Cel Education, YMCA International Learning Center, YMCA of Greater Boston","Academic Mentor, Activity Assistant, Activity Assistant (Art Centre/Integrated Art Program), Activity Assistant (Field Trip Program), Activity Assistant (Health Education), Activity Assistant (Music Room), Activity Assistant (MVP), Activity Assistant (ServiceWorks Volunteer), Activity Assistant (Student Support), Activity Assistant (Writing Coach Program), Administrative Assistant, Administrative Assistant (Community Writer), Advocacy Consultant, Advocate, Case Manager, Classroom Assistant, College and Career Pathways Assistant, Communications Intern, Computer Tutor, Consultant, Conversation Partner, Coordinator, Corps Member, Democracy Coach, Digital Communications Intern, Facilitator, Food Preparation (Dining Room), Food Preparation (Food Pantry), Food Preparation (Lunch Server), Grief Support Program Assistant, Health Educator, Human Resource Assistant, Integrated Arts Classroom Assistant, Intern, Job Support Assistant, Kitchen Assistant, Kitchen Volunteer, Meal Assistant, Mentor, Mentor (College & Career Program), Monitoring and Evaluation Assistant, Paraprofessional Volunteer, Program Assistant, Service-Learning Teaching Assistant, Service-Learning Team Manager, Special Event Coordinator, Strong Woman, Tutor, Tutor (After School Program), Tutor (Afterschool Program), Tutor (Human Services & GE), Tutor (Workforce Readiness), Tutor (Writing & Publishing Center), Tutor/Activity Assistant, Video Mentor, Volunteer, Volunteer Interpreter",35
HUSV 2900,HUSV 2900 Gender Violence: Bystander Education Theory & Practice ,CSSH,Jarrod Chin & Betsy Gardner,14,Spring 2015,"Bird Street Community Center, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Catholic Charities, Labour_ Center, Edward M. Kennedy Academy For Health Careers, Northeastern University Service-Learning Program","Activity Assistant (MVP), Activity Assistant (TEAM/MVP), Activity Assistant (Teen Education Room/MVP), Service-Learning Teaching Assistant",14
HUSV 3510,HUSV 3510 Special Topics: MVP: A Bystander Approach to Ending Gender Based Violence ,CSSH,Jarrod Chin & Caitlin Geddes,13,Spring 2013,null,null,null
HUSV 3520,HUSV 3520 Child Intervention & Treatment,CSSH,Emily Mann,20,Spring 2017,"3 Point Foundation, ABACS, Adventure Challenge Program, Balfour Academy, BalletRox Inc, Boston Area Rape Crisis Center, Boston Public Schools West Zone Learning Center, Boys & Girls Club 0f Boston-Hennigan Club, Boys & Girls Clubs of Boston - Yawkey Club of Roxbury, Center for STEM Education, Children's Advocacy Center of Suffolk County Inc, Driscoll Extended Day Program, Fay School, Healthy Kids, Healthy Futures, Hurley K-8 School, Italian Home for Children, Judge Rotenberg Center, Jumpstart at Northeastern, LIFT-Boston, Martha Eliot Health Center, Northeastern University Service-Learning Program, Project Destiny, Roxbury Head Start, Samuel Adams Elementary School, St. Stephen's Youth Programs, Strong Women Strong Girls, Thom Child & Family Services, Transition House, Tutors For All, United South End Settlements, Walker, Wediko Children's Services, Year Up Inc.","Activity Assistant, Activity Assistant (Art Centre/Integrated Art Program), Activity Assistant (Art Class, Child intervention & Treatment), Activity Assistant (Art Room), Activity Assistant (Autism Classroom), Activity Assistant (Early Childhood Ed.), Activity Assistant (Music Room), Activity Assistant (Student Activity Leader), Afterschool Assistant, Behavior Therapist, Case Management Intern, Case Manager, Child Care, Child Care Worker, Classroom Assistant, Classroom Volunteer, Corps Member, Early Intervention Intern, Employment Placement Specialist, Integrated Arts Classroom Assistant, Intern, MassSTART Assistant, Mentor, Program Assistant, Service-Learning Teaching Assistant, Service-Learning Team Manager, Teaching Assistant, Tutor, Tutor/Activity Assistant",38
HUSV 3550,"HUSV 3550 Social Policy, Advocacy, Activism",CSSH,Lori Gardinier,18,Spring 2012,null,null,null
HUSV 3570,HUSV 3570 Strategic Philanthropy and Nonprofit Management,CSSH,Rebecca Riccio,19,Spring 2017,"Northeastern Students4Giving, Northeastern University Service-Learning Program","Consultant, Philanthropy Consultant, Service-Learning Teaching Assistant",18
HUSV 4866,HUSV 4866 Intercultural Studies through Human Services,CSSH,Lori Gardinier,21,Summer 2015,"The City of Hope, The Kondwa Centre, Lubuto Library, Modzi, SHARPZ, Vision of Hope, YMCA Street Youth",null,null
HUSV 4994,HUSV 4994 Human Services Internship,CSSH,Lori Gardinier,22,Summer 2016,"Cultivate London, Evolve Housing, Human Care Syria, Irish Chaplaincy in Britain, Mind Yourself, National Union of Students, Play for Change, Southern Housing Group, SSAFA, St. Hilda's East Community Centre, St. Peter's Bethnal Green, Step Up to Social Work, Whizz-Kidz",International Volunteer,0
HUSV 5200,HUSV 5200 Strategic Communications for Nonprofit Organizations,CSSH,Kate Marple,10,Fall 2015,"Hostelling International-Boston, Jumpstart at Northeastern, Northeastern University Service-Learning Program, Vibrant Boston","Consultant (Communication), Service-Learning Teaching Assistant",32
IE 2310,IE 2310 Introduction to Industrial Engineering,COE,Susan Freeman,6,Fall 2012,null,null,null
IE 3425,IE 3425 Engineering Database Systems,COE,Ibrahim Zeid ,10,Fall 2011,null,null,null
INTB 6226,INTB 6226 Becoming a Global Leader,DMSB,Paula Caligiuri,25,Spring 2015,"826 Boston, Asian Women for Health, Boston Cares, Boston Housing Authority, Boys & Girls Clubs of Boston, Edward M. Kennedy Academy For Health Careers, Family Service Association of Greater Boston, Massachusetts Promise Fellowship, Mujeres Unidas Avanzando, Northeastern University Service-Learning Program, Playworks Massachusetts, Roxbury Tenants of Harvard, Steps to Success, The DREAM Program, The Neighborhood Developers, Union Capital Boston","Activity Assistant, Activity Assistant (MVP), Business Consultant, Consultant, Project Consultant, Service-Learning Team Manager, Tutor, Tutor (After School Program)",8
JRNL 3625,JRNL 3625 Public Relations Practice,CAMD,Gladys McKie,4,Fall 2010,null,null,null
